,GEO1_Sydney_RSSI_dBm,GEO1_Melbourne_RSSI_dBm,LEO20_Sydney_RSSI_dBm,LEO21_Sydney_RSSI_dBm,LEO21_Melbourne_RSSI_dBm,LEO22_Sydney_RSSI_dBm,LEO22_Melbourne_RSSI_dBm,LEO23_Sydney_RSSI_dBm,LEO23_Melbourne_RSSI_dBm,LEO24_Sydney_RSSI_dBm,LEO24_Melbourne_RSSI_dBm,LEO25_Sydney_RSSI_dBm,LEO25_Melbourne_RSSI_dBm,LEO26_Sydney_RSSI_dBm,LEO26_Melbourne_RSSI_dBm,LEO27_Sydney_RSSI_dBm,LEO27_Melbourne_RSSI_dBm,LEO28_Sydney_RSSI_dBm,LEO28_Melbourne_RSSI_dBm,LEO60_Sydney_RSSI_dBm,LEO61_Sydney_RSSI_dBm,LEO61_Melbourne_RSSI_dBm,LEO62_Sydney_RSSI_dBm,LEO62_Melbourne_RSSI_dBm,LEO63_Sydney_RSSI_dBm,LEO63_Melbourne_RSSI_dBm,LEO64_Sydney_RSSI_dBm,LEO64_Melbourne_RSSI_dBm,LEO65_Sydney_RSSI_dBm,LEO65_Melbourne_RSSI_dBm,LEO66_Sydney_RSSI_dBm,LEO66_Melbourne_RSSI_dBm,LEO67_Sydney_RSSI_dBm,LEO67_Melbourne_RSSI_dBm,LEO68_Melbourne_RSSI_dBm,LEO101_Sydney_RSSI_dBm,LEO102_Sydney_RSSI_dBm,LEO103_Sydney_RSSI_dBm,LEO103_Melbourne_RSSI_dBm,LEO104_Sydney_RSSI_dBm,LEO104_Melbourne_RSSI_dBm,LEO105_Sydney_RSSI_dBm,LEO105_Melbourne_RSSI_dBm,LEO106_Sydney_RSSI_dBm,LEO106_Melbourne_RSSI_dBm,LEO107_Sydney_RSSI_dBm,LEO107_Melbourne_RSSI_dBm,LEO553_Melbourne_RSSI_dBm,LEO554_Melbourne_RSSI_dBm,LEO555_Melbourne_RSSI_dBm,LEO556_Melbourne_RSSI_dBm,LEO557_Melbourne_RSSI_dBm,LEO558_Melbourne_RSSI_dBm,LEO592_Melbourne_RSSI_dBm,LEO593_Sydney_RSSI_dBm,LEO593_Melbourne_RSSI_dBm,LEO594_Sydney_RSSI_dBm,LEO594_Melbourne_RSSI_dBm,LEO595_Sydney_RSSI_dBm,LEO595_Melbourne_RSSI_dBm,LEO596_Sydney_RSSI_dBm,LEO596_Melbourne_RSSI_dBm,LEO597_Sydney_RSSI_dBm,LEO597_Melbourne_RSSI_dBm,LEO598_Sydney_RSSI_dBm,LEO598_Melbourne_RSSI_dBm,LEO599_Sydney_RSSI_dBm,LEO599_Melbourne_RSSI_dBm,LEO632_Melbourne_RSSI_dBm,LEO633_Sydney_RSSI_dBm,LEO633_Melbourne_RSSI_dBm,LEO634_Sydney_RSSI_dBm,LEO634_Melbourne_RSSI_dBm,LEO635_Sydney_RSSI_dBm,LEO635_Melbourne_RSSI_dBm,LEO636_Sydney_RSSI_dBm,LEO636_Melbourne_RSSI_dBm,LEO637_Sydney_RSSI_dBm,LEO637_Melbourne_RSSI_dBm,LEO638_Sydney_RSSI_dBm,LEO638_Melbourne_RSSI_dBm,LEO639_Sydney_RSSI_dBm,LEO639_Melbourne_RSSI_dBm,LEO640_Sydney_RSSI_dBm,LEO640_Melbourne_RSSI_dBm,LEO672_Sydney_RSSI_dBm,LEO672_Melbourne_RSSI_dBm,LEO673_Sydney_RSSI_dBm,LEO673_Melbourne_RSSI_dBm,LEO674_Sydney_RSSI_dBm,LEO674_Melbourne_RSSI_dBm,LEO675_Sydney_RSSI_dBm,LEO675_Melbourne_RSSI_dBm,LEO676_Sydney_RSSI_dBm,LEO676_Melbourne_RSSI_dBm,LEO677_Sydney_RSSI_dBm,LEO677_Melbourne_RSSI_dBm,LEO678_Sydney_RSSI_dBm,LEO678_Melbourne_RSSI_dBm,LEO679_Sydney_RSSI_dBm,LEO679_Melbourne_RSSI_dBm,LEO680_Sydney_RSSI_dBm,LEO680_Melbourne_RSSI_dBm,LEO712_Sydney_RSSI_dBm,LEO712_Melbourne_RSSI_dBm,LEO713_Sydney_RSSI_dBm,LEO713_Melbourne_RSSI_dBm,LEO714_Sydney_RSSI_dBm,LEO714_Melbourne_RSSI_dBm,LEO715_Sydney_RSSI_dBm,LEO715_Melbourne_RSSI_dBm,LEO716_Sydney_RSSI_dBm,LEO716_Melbourne_RSSI_dBm,LEO717_Sydney_RSSI_dBm,LEO717_Melbourne_RSSI_dBm,LEO718_Sydney_RSSI_dBm,LEO718_Melbourne_RSSI_dBm,LEO719_Sydney_RSSI_dBm,LEO719_Melbourne_RSSI_dBm,LEO720_Sydney_RSSI_dBm,LEO720_Melbourne_RSSI_dBm
count,6.0,6.0,2.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,1.0,1.0,3.0,6.0,3.0,6.0,5.0,6.0,6.0,5.0,5.0,2.0,2.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,1.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,2.0,2.0,1.0,2.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,2.0
mean,-1346.4108789880868,-1403.9246297865318,-2701.6789721086298,-2759.3725649309918,-2764.42212942768,-2659.0757019478383,-inf,-2042.2537266148684,-inf,-1718.875176787463,-2323.2097939390046,-2225.3697255719117,-2464.4173227930833,-2781.756107631827,-2756.41573056613,-inf,-inf,-2754.11586937515,-2892.465213107125,-2675.41429105824,-2749.664902641907,-2868.35550236357,-inf,-inf,-2878.137603023372,-inf,-2593.331559793103,-2852.975218692587,-2846.7697824614665,-2983.0396339768718,-inf,-inf,-inf,-inf,-2758.21394219811,-inf,-2983.808626206863,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2909.911924627195,-2911.121324178715,-3166.2320756251747,-inf,-inf,-inf,-2860.823996262512,-inf,-2857.95289680665,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3005.677462725683,-inf,-inf,-inf,-inf,-2850.9788231544153,-inf,-inf,-2866.50038148814,-2708.2195521261015,-2588.1464947059435,-2134.0130896780233,-2865.296123356207,-2292.8392951289734,-2750.2671875546766,-2429.425502480745,-inf,-inf,-2947.88948880593,-2935.4342543291928,-2769.70272127825,-2769.23626599435,-3269.1418030227,-inf,-inf,-2916.007433688292,-2862.1877726332464,-2465.9975947731114,-2290.197961537957,-1455.0969283658808,-1846.28301666005,-1026.5283972034085,-1924.3298906196198,-1630.3014109972448,-inf,-inf,-inf,-inf,-3033.27227938627,-3061.5135015481346,-2853.71248496891,-2775.025111293205,-2833.900937575455,-2733.471650878226,-2791.1324725614963,-2450.6232536316097,-1751.3593292013154,-1288.3175161768024,-767.5817049088565,-860.8730296265734,-995.2009311288306,-1581.8178701570562,-2091.173460569774,-inf,-2788.8529541853295,-2809.668427742735,-inf,-inf
std,96.77552332944272,101.21723389570982,92.24972931396758,280.7016557375369,94.68844607333203,547.3059339597771,,648.4714959760513,,307.7897542146458,226.54948135908666,529.0432445096595,371.0989915833913,363.64122049503464,308.41347083165067,,,,229.92122816456734,,19.625780758389894,,,,204.356566492187,,280.4683436349281,258.20648264983316,301.52739416522024,224.12340789268785,,,,,,,213.81143441206177,,,,,,,,,67.7181306386204,69.64856541322345,145.67677222156243,,,,274.3153969995982,,,,,,,,,,,,277.79398010732365,,,,,266.62305046485926,,,313.60864477879244,438.97758637583433,174.12224555184872,232.48238604783873,151.31096620633332,213.58472014028288,173.47965565404317,316.82232896615943,,,178.99729055091015,189.76090806361034,,,,,,260.0116615996301,269.93330898297023,471.02956680727397,249.05609702116138,616.0975703823473,374.9154486095252,443.243820317407,441.9814488859045,825.4026962279509,,,,,182.14419855285124,161.79940742971274,,36.84029034561401,345.7354563346906,372.6342150668469,335.0748870597683,532.0841098543755,834.3582567704732,862.8035019690811,545.3443835541922,497.5069535922211,834.6004562252648,860.2069472762981,822.7829442093463,,359.15287429518514,224.6324099892919,,
min,-1506.08663324431,-1570.92868573228,-2766.90938126916,-3149.80143234981,-2867.99843022105,-3211.91323566539,-inf,-3077.39108515235,-inf,-2172.0022408008,-2682.53957219992,-3001.00337928252,-2955.36145873332,-3285.13734528451,-3215.50080933268,-inf,-inf,-2754.11586937515,-3055.04407268103,-2675.41429105824,-2763.21367080019,-2868.35550236357,-inf,-inf,-3146.40005409641,-inf,-3025.04586223886,-3195.07618784039,-3236.81434245987,-3239.18253135954,-inf,-inf,-inf,-inf,-2758.21394219811,-inf,-3174.80403559475,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-2957.79587401104,-2960.37029708232,-3269.24110912441,-inf,-inf,-inf,-3244.78440118676,-inf,-2857.95289680665,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-3291.33437957655,-inf,-inf,-inf,-inf,-3039.50979015876,-inf,-inf,-3229.96446579795,-3325.57866877771,-2815.85293906957,-2456.10596884536,-3038.60523275296,-2669.03210118595,-2935.95705257659,-2876.14890668086,-inf,-inf,-3161.08079829585,-3158.56164244196,-2769.70272127825,-2769.23626599435,-3269.1418030227,-inf,-inf,-3254.96461666328,-3220.98534695256,-3053.72154367378,-2566.28602482362,-2244.48865991514,-2474.95721097119,-1685.63669157615,-2472.9686142751,-2554.75272672775,-inf,-inf,-inf,-inf,-3162.06767733678,-3175.92295973365,-2853.71248496891,-2801.07513041747,-3267.52266690934,-3222.98626605049,-3042.12547918024,-2961.09001738022,-2850.25777893487,-2366.75446793494,-1635.95411436892,-1655.33571282429,-2200.38048484402,-2622.2891795869,-3198.52196197434,-inf,-3257.93678388783,-3107.15955993866,-inf,-inf
25%,-1373.472863138235,-1432.2288915123274,-2734.294176688895,-2869.72081258053,-2805.4808366299103,-3147.7980313336348,,-2399.5054905541774,-3020.205911422645,-1896.91966041312,-2396.0320901797027,-2585.86261852922,-2649.5462903141724,-2963.286093506683,-2896.3529965430853,-inf,-3161.22133296738,-2754.11586937515,-2973.7546428940773,-2675.41429105824,-2760.91807255173,-2868.35550236357,-3209.47612717454,-inf,-2988.3405231110773,,-2735.6028367040153,-3013.6980860123276,-3070.1638924073827,-3152.9336188789703,-3132.971125554865,-3169.8722238003324,,,-2758.21394219811,,-3099.29944243131,,-inf,,,-3261.8472958020375,,,,-2933.8538993191173,-2935.7458106305176,-3217.7365923747925,,,,-2965.299298051257,,-2857.95289680665,,,,-3285.542675877742,,-3230.3315783042726,,-3214.76987896288,-3283.1240440331603,-3246.4753922184377,,,,,-2945.2443066565875,-inf,-3227.38892813782,-3105.41011498964,-2944.425280946,-2732.1001008484423,-2305.7233354141677,-2989.2805912340327,-2313.9610827779775,-2885.5235905544496,-2613.98884596712,,,-3049.48389603312,-3039.8939736137377,-2769.70272127825,-2769.23626599435,-3269.1418030227,,-inf,-3114.36869449573,-3046.871944151635,-2730.0687121944625,-2518.5096334441823,-1900.9582455965624,-1983.7574067363025,-1332.83414883499,-2281.59617814116,-2261.4371607528824,-2682.563867870605,-2792.5014181565175,-3300.77549133381,,-3097.669978361525,-3118.718230640892,-2853.71248496891,-2788.050120855338,-3014.994365808685,-2852.5169643353,-2947.78339710555,-2739.761202606605,-2327.9617751309574,-2004.6900072441676,-1040.0418461591748,-1083.1006080585425,-1554.6323455994152,-2193.2467975768477,-2562.5031271428597,-2873.282270526255,-3014.827489576537,-2920.49023950671,-inf,
50%,-1352.08668225241,-1409.86125132886,-2701.6789721086298,-2781.63488900862,-2742.96324303877,-2725.0602648988697,-3034.834878567955,-1787.6994134553051,-2609.3651405478304,-1703.7089721493849,-2303.76829868557,-2046.29263531998,-2541.95566704583,-2829.3571562684947,-2778.104939369845,-3037.644751698605,-3082.16196628736,-2754.11586937515,-2892.465213107125,-2675.41429105824,-2758.62247430327,-2868.35550236357,-2877.7033074486553,-3119.83665311833,-2905.293235033525,-inf,-2575.33627148978,-2881.7668996621896,-2801.158315735015,-2999.835678470015,-2804.724048833905,-2854.76338321626,,,-2758.21394219811,,-3023.79484926787,-3174.7354361397,-2972.762254912,-inf,-3177.24973940292,-3122.38217572583,-3151.9877250729796,,,-2909.911924627195,-2911.121324178715,-3166.2320756251747,,-inf,-3079.25544776079,-2770.67168060768,,-2857.95289680665,,,-inf,-3195.290921893315,-3221.1430219674303,-2966.81655860736,-3262.942930863185,-3023.0560317465697,-3130.85236981353,-3029.3380726573396,-inf,-2714.95653476774,,-inf,-2850.9788231544153,-3061.59265213148,-3045.96207078467,-2873.80996648413,-2646.83198812541,-2535.7241209986,-2086.4793667321146,-2858.8415786359647,-2286.57953803331,-2756.67126809206,-2416.8096908429998,-3121.01057014087,-2935.4625843409704,-2942.30456350125,-2935.483094621435,-2769.70272127825,-2769.23626599435,-3269.1418030227,-inf,-3311.95344741752,-2825.57267248013,-2845.989507221835,-2509.02575024197,-2251.8836395656554,-1463.3904593882448,-1810.8103216192649,-868.7942507817525,-1876.346957209075,-1728.39656741832,-2548.6340815988096,-2627.3052131526047,-3234.96708878155,-inf,-3033.27227938627,-3061.5135015481346,-2853.71248496891,-2775.025111293205,-2800.274811370475,-2835.45132715312,-2880.62979425873,-2621.655243305825,-1727.46504862789,-1176.7153923738615,-688.273296412804,-821.632419962982,-856.2674668704345,-1695.3819686061101,-2124.405312453855,-2436.99681195926,-2813.508031678445,-2756.30014522058,-3069.81321679516,-inf
75%,-1268.2094825889199,-1322.133773078265,-2669.063767528365,-2579.34365262331,-2712.633979030995,-2183.9465750062973,-2728.555685770555,-1609.395311360315,-2403.9950276201525,-1462.2020851128475,-2247.45170867106,-1821.4258918497699,-2225.2181188426525,-2566.933381937265,-2545.4692757718576,-2922.6128344007802,-2877.65499729679,-2754.11586937515,-2811.1757833201723,-2675.41429105824,-2742.890518562765,-2868.35550236357,-2707.0210526088676,-2925.68816709003,-2772.0548389694377,-2967.4722388662626,-2375.903288969855,-2636.740257984625,-2688.4477947714972,-2857.3906825732997,-2712.834804442293,-2703.709606953005,-inf,,-2758.21394219811,,-2888.31092151292,-2954.4502572226274,-2821.767402016085,-3017.1502243864074,-3041.82358428445,-3063.844979447628,-3078.9682401554523,-3273.04748849305,-3272.84781280415,-2885.9699499352723,-2886.4968377269124,-3114.7275588755574,-3163.15251435268,-3166.2001850592324,-2876.894196880045,-2666.196378818935,,-2857.95289680665,,,-2964.787529287375,-2907.368822950385,-3063.054605424728,-2831.2674696300423,-3161.64587378336,-2968.0471182906776,-2955.3911815209026,-2768.2097515643873,-2786.6565281783273,-2676.85661298442,,-inf,-2756.7133396522427,-2843.992736764705,-3002.20716676182,-2657.33305260106,-2571.550312093865,-2469.26744215491,-1949.577127164295,-2737.25705480133,-2191.28081134153,-2673.5009180394472,-2246.4091176811176,-3008.805332345065,-2836.8143347560626,-2840.71015627406,-2831.02337533689,-2769.70272127825,-2769.23626599435,-3269.1418030227,-inf,-3114.6712340926197,-2756.41751516548,-2684.0337458428025,-2303.3115832331723,-2072.2734170179447,-931.8571645313725,-1543.302639398675,-669.762065423195,-1536.374671989645,-1037.7440799997298,-2086.2472380743147,-2098.0427860360974,-3066.45402551717,-3252.8098970617525,-2968.874580411015,-3004.3087724553775,-2853.71248496891,-2762.0001017310724,-2619.181383137245,-2517.47777669215,-2858.1571087874277,-2342.520329258413,-1224.113235341035,-611.6791789803765,-348.3033420839845,-470.575470201508,-311.6655837839665,-922.047278945307,-1681.495348890705,-2314.249615304905,-2562.293485629955,-2645.478333456605,-2904.2769512518053,-inf
max,-1247.35327004479,-1300.32053842764,-2636.4485629481,-2416.36203809269,-2682.30471502322,-2000.13448103657,-2598.82187214599,-1447.33098737713,-2341.703564335,-1390.80786302351,-1993.716394719,-1746.44011321699,-1942.18237642164,-2259.29712488986,-2363.09062515105,-2855.6867122381,-2834.52400707271,-2754.11586937515,-2729.88635353322,-2675.41429105824,-2727.15856282226,-2868.35550236357,-2611.39730058335,-2826.43022784549,-2568.1741012251,-2867.16149943986,-2285.82030030156,-2546.50146610294,-2430.77768175707,-2645.50863260531,-2565.05109733304,-2610.31452069821,-2786.2185239149,-2782.59741683868,-2758.21394219811,-inf,-2752.82699375797,-2599.96563968798,-2670.77254912017,-2778.90188037698,-2845.85189509533,-2889.47958467599,-2953.4231522343,-3135.04123830933,-3157.19484629263,-2862.02797524335,-2861.87235127511,-3063.22304212594,-2951.22616452834,-3042.36334754205,-2771.06482940279,-2657.16822264793,-inf,-2857.95289680665,-inf,-3333.7841489205,-2749.56206666185,-2597.26847766294,-2758.83823487023,-2648.48899303752,-2611.87592428066,-2385.98817901587,-2823.37170310795,-2684.03277485733,-2658.01558944454,-2591.45181441338,-inf,-2970.94301712489,-2662.44785615007,-2626.39282139793,-2449.34521758576,-2465.98430756792,-2039.9952024252,-2396.90381049682,-1892.26613014201,-2705.99920782251,-2032.2417600508,-2478.05170383686,-1997.46056888196,-2590.37622061916,-2563.76877460946,-2745.86802992537,-2712.20918563194,-2769.70272127825,-2769.23626599435,-3269.1418030227,-3216.60745957196,-2917.38902076772,-2628.71366963684,-2516.28102589189,-1685.72263073875,-2051.34615770041,-757.818417591905,-1485.58039865012,-645.013071591052,-1480.58698632278,-523.618661694477,-1881.64969815953,-1906.20273757983,-2669.88681146282,-3206.13643665748,-2904.47688143576,-2947.10404336262,-2853.71248496891,-2748.97509216894,-2467.53146065153,-2238.92592016007,-2122.57562265313,-1470.73380418165,-618.511450806513,-305.704524328001,-200.711468876268,-342.82446730444,-140.737906923875,-454.383314517751,-857.313750127743,-1640.41123683445,-2287.6755987109,-2618.91386059112,-2738.74068570845,-2770.98136943568
