Time,EndToEnd_Thrpt_Mbps,EndToEnd_BER_QPSK,EndToEnd_Latency_ms,Melbourne_Uplink_Best_SAT_ID,Sydney_Downlink_Best_SAT_ID
10-Apr-2025 12:00:00,184.0551996166048,0.117094919306009,6.1163349102411,LEO35,LEO35
10-Apr-2025 12:00:30,238.98239072149468,0.0783099484607361,6.054165052606,LEO35,LEO35
10-Apr-2025 12:01:00,235.36539508246327,0.0211896703223176,6.256142343753,LEO35,LEO35
10-Apr-2025 12:01:30,429.54885698415853,0.0128773299105705,6.3087169514451,LEO68,LEO35
10-Apr-2025 12:02:00,336.3285557879419,0.0342794445438773,5.9996582591416,LEO68,LEO35
10-Apr-2025 12:02:30,205.6396584519539,0.100409307017205,5.9333669618833,LEO68,LEO35
10-Apr-2025 12:03:00,154.33556533359527,0.143617712888844,6.9579714551472005,LEO68,LEO68
10-Apr-2025 12:03:30,188.13869458480931,0.113782353161592,7.335725953067099,LEO68,LEO79
10-Apr-2025 12:04:00,183.19540130943298,0.117802041068175,6.9002853724988,LEO68,LEO68
10-Apr-2025 12:04:30,146.36334683596135,0.151520363890018,6.7429948116997,LEO68,LEO79
10-Apr-2025 12:05:00,238.6410780339365,0.0785154311990145,6.7370303805171,LEO68,LEO79
10-Apr-2025 12:05:30,190.8953957820263,0.0405278421740573,6.9056971666967,LEO68,LEO79
10-Apr-2025 12:06:00,154.8906539421549,0.143080695324743,6.3795191024931,LEO34,LEO79
10-Apr-2025 12:06:30,403.9771059293251,0.017218674261818,5.8815489062219,LEO34,LEO79
10-Apr-2025 12:07:00,252.5320564722061,0.0704757537539406,5.659995575778,LEO34,LEO79
10-Apr-2025 12:07:30,271.2782831958084,0.0606297778845414,5.738868703905,LEO34,LEO79
10-Apr-2025 12:08:00,259.18443212872984,0.066853576025247,5.8061904995653,LEO34,LEO34
10-Apr-2025 12:08:30,404.6126113115053,0.0170984943858641,5.5651038914619,LEO34,LEO34
10-Apr-2025 12:09:00,374.02939904595945,0.0109476889872112,5.602126902144599,LEO34,LEO34
10-Apr-2025 12:09:30,341.5307931256256,0.0121025294302865,5.917792427069,LEO34,LEO34
10-Apr-2025 12:10:00,338.145601961483,0.0264081987499383,6.0551781718583,LEO67,LEO34
10-Apr-2025 12:10:30,358.3629528303013,0.027717442360291,5.8902867636520995,LEO67,LEO34
10-Apr-2025 12:11:00,247.08902820043087,0.0735479694933175,5.9758297829478,LEO67,LEO34
10-Apr-2025 12:11:30,187.78301569850825,0.114067898969216,7.41740537401,LEO67,LEO67
10-Apr-2025 12:12:00,151.1412889672451,0.146741085354626,7.3482433609807,LEO67,LEO67
10-Apr-2025 12:12:30,131.40761645075034,0.1673621241966,7.6595202685068,LEO67,LEO34
10-Apr-2025 12:13:00,207.20974129546548,0.099272305545231,6.593311058657401,LEO67,LEO78
10-Apr-2025 12:13:30,184.0650809916849,0.0885376419993295,6.603859925215101,LEO67,LEO78
10-Apr-2025 12:14:00,328.5198551407423,0.0038714614939035,6.292193932514801,LEO33,LEO78
10-Apr-2025 12:14:30,230.2691282843342,0.0213939977890246,5.6239352234955,LEO33,LEO78
10-Apr-2025 12:15:00,583.8711106540384,0.0014101356222506,5.2297991938304005,LEO33,LEO78
10-Apr-2025 12:15:30,304.5547812047825,0.0457433029147328,5.1443254025975005,LEO33,LEO78
10-Apr-2025 12:16:00,331.2973400717592,0.0359307216147797,5.3795306664983,LEO33,LEO78
10-Apr-2025 12:16:30,328.1165767943087,0.0370053912065179,5.2439799276659,LEO33,LEO33
10-Apr-2025 12:17:00,374.17226550342275,0.0236372318015127,5.103896847662201,LEO33,LEO33
10-Apr-2025 12:17:30,458.8191346684885,0.0021354060891192,5.255143648976,LEO33,LEO33
10-Apr-2025 12:18:00,362.6083275944166,0.0087367949769388,5.7004765679401,LEO33,LEO33
10-Apr-2025 12:18:30,318.9810804933033,0.0032946619965814,5.9359197148741,LEO66,LEO33
10-Apr-2025 12:19:00,328.42764550421236,0.0135808356799947,5.9241697921332,LEO66,LEO33
10-Apr-2025 12:19:30,142.69230668796635,0.155282406250635,6.154993438362,LEO66,LEO33
10-Apr-2025 12:20:00,117.69802426080132,0.183172135673684,6.6127900702287,LEO66,LEO33
10-Apr-2025 12:20:30,172.86296311766435,0.12656984356376,7.948054253731101,LEO66,LEO66
10-Apr-2025 12:21:00,130.3013583831749,0.168590034297077,8.1279379268824,LEO66,LEO33
10-Apr-2025 12:21:30,258.96118484204385,0.0669728063403739,6.4993859283926,LEO66,LEO77
10-Apr-2025 12:22:00,164.64899775747872,0.059089369324051,6.5324986336339,LEO66,LEO77
10-Apr-2025 12:22:30,327.4911117877588,0.0026464058449643,5.564026477278699,LEO32,LEO77
10-Apr-2025 12:23:00,447.5618763115625,0.0008355081155978,4.9893913889563,LEO32,LEO77
10-Apr-2025 12:23:30,417.3825855585203,0.0148195204286164,4.7280916049093,LEO32,LEO77
10-Apr-2025 12:24:00,198.5497665931263,0.105669969045635,4.7971623844964,LEO32,LEO77
10-Apr-2025 12:24:30,244.83758240146733,0.0748478977845286,5.1187154413050004,LEO32,LEO32
10-Apr-2025 12:25:00,419.9618074816427,0.0143896883677539,4.7954430243686,LEO32,LEO32
10-Apr-2025 12:25:30,750.2526107793722,1.50853590188331e-05,4.7727962519378,LEO32,LEO32
10-Apr-2025 12:26:00,477.0270846134987,0.0003105224677868,5.0541861707583,LEO32,LEO32
10-Apr-2025 12:26:30,300.10776648679445,0.0475532597939569,5.6439350139522,LEO32,LEO32
