Time,Sydney_Downlink_Best_SAT_ID,Sydney_Downlink_BEST_SNR,Sydney_Downlink_BEST_RSSI,Sydney_Downlink_BEST_Thrpt,Sydney_Downlink_BEST_BER_MQAM,Sydney_Downlink_BEST_BER_QPSK,Sydney_Downlink_BEST_Latency,Melbourne_Uplink_Best_SAT_ID,Melbourne_Uplink_BEST_SNR,Melbourne_Uplink_BEST_RSSI,Melbourne_Uplink_BEST_Thrpt,Melbourne_Uplink_BEST_BER_MQAM,Melbourne_Uplink_BEST_BER_QPSK,Melbourne_Uplink_BEST_Latency
10-Apr-2025 12:00:00,LEO35,-1.50202446955289,-121.453115352509,184.0551996166048,0.265039292225243,0.117094919306009,3.2724858340827,LEO35,9.28944389119249,-112.880134487927,464.4180039160261,0.0721991051531295,1.88735569569173e-05,2.8438490761584
10-Apr-2025 12:00:30,LEO35,0.014225848992794,-119.936865033963,238.98239072149468,0.245321888214559,0.0783099484607361,2.9568547291505998,LEO35,9.80806058078424,-112.361517798336,486.6006411970463,0.0624642327394777,6.0884772646921e-06,3.0973103234554
10-Apr-2025 12:01:00,LEO35,3.13866116648404,-116.812429716472,384.6953355394316,0.195358745851241,0.0211896703223176,2.7826863802124997,LEO35,3.28008283891526,-118.889495540204,235.36539508246327,0.192801801987023,0.0195518211428651,3.4734559635405
10-Apr-2025 12:01:30,LEO35,3.95537392252996,-115.995716960426,429.54885698415853,0.180268007663222,0.0128773299105705,2.7769731703945,LEO68,8.80033512161977,-113.3692432575,443.7513615292158,0.0817622827591982,4.90552508858132e-05,3.5317437810506
10-Apr-2025 12:02:00,LEO35,2.19740442279391,-117.753686460162,336.3285557879419,0.211743220110781,0.0342794445438773,2.9407637747456,LEO68,9.68079219230835,-112.488786186811,481.13272717418954,0.0648091509365166,8.13444182353208e-06,3.0588944843959998
10-Apr-2025 12:02:30,LEO35,-0.871376223637412,-120.822467106594,205.6396584519539,0.257184801063545,0.100409307017205,3.2484313421745,LEO68,10.9070111448288,-111.262567234291,534.4104705326814,0.0436664211207382,3.44593504876208e-07,2.6849356197088
10-Apr-2025 12:03:00,LEO68,-2.46978654648775,-122.420877429444,154.33556533359527,0.276176299280266,0.143617712888844,4.5021210029788,LEO68,12.8593583885622,-109.310219990558,621.5004949946833,0.0185067117645206,2.5564777557630103e-10,2.4558504521684
10-Apr-2025 12:03:30,LEO79,-1.37863146135403,-121.32972234431,188.13869458480931,0.263540378114271,0.113782353161592,4.9222864900601,LEO68,13.0204658477957,-109.149112531324,628.7861575999956,0.0169679794940091,1.21031666245621e-10,2.4134394630069997
10-Apr-2025 12:04:00,LEO68,-1.52826833104793,-121.479359214004,183.19540130943298,0.26535574132108,0.117802041068175,4.3333289954118,LEO68,7.36027883119161,-114.809299547928,384.55932874720764,0.111253574930115,0.0004832278473796,2.566956377087
10-Apr-2025 12:04:30,LEO79,-2.75410736209716,-122.705198245053,146.36334683596135,0.279245983881041,0.151520363890018,3.8578814470201,LEO68,8.06142927630697,-114.108149102813,413.0485777591362,0.0967197513356796,0.0001734108500075,2.8851133646796
10-Apr-2025 12:05:00,LEO79,0.0056167773319941,-119.945474105624,238.6410780339365,0.245442002769955,0.0785154311990145,3.4164100314390002,LEO68,7.72422394749563,-114.445354431624,399.2640761393976,0.103682812646638,0.000289432104865,3.3206203490781
10-Apr-2025 12:05:30,LEO79,2.32982266127198,-117.621268221684,342.9088193055792,0.209506245347196,0.032207633509042,3.0723943531362,LEO68,1.82358415088041,-120.345994228239,190.8953957820263,0.21793558185207,0.0405278421740573,3.8333028135605
10-Apr-2025 12:06:00,LEO79,-2.45042862608534,-122.401519509042,154.8906539421549,0.275964034543078,0.143080695324743,2.8616242818972,LEO34,6.79836236943609,-115.371216009684,362.23288200305274,0.1229885016166,0.0009894565576033,3.5178948205958998
10-Apr-2025 12:06:30,LEO79,3.49555087537091,-116.455540007585,403.9771059293251,0.188860021625636,0.017218674261818,2.8144476294855,LEO34,8.85389353551996,-113.3156848436,446.0016823072863,0.080699745391089,4.44013194168733e-05,3.0671012767364
10-Apr-2025 12:07:00,LEO79,0.34937222506656,-119.60171865789,252.5320564722061,0.240571642122206,0.0704757537539406,2.9388217242173003,LEO34,12.3295237256449,-109.840054653475,597.6362980767517,0.02415916973358,2.49085214729992e-09,2.7211738515607
10-Apr-2025 12:07:30,LEO79,0.793578696228678,-119.157512186728,271.2782831958084,0.234050854980418,0.0606297778845414,3.2148045650585,LEO34,11.1037818622588,-111.065796516861,543.073779078229,0.0406153465960285,1.90580690771468e-07,2.5240641388465
10-Apr-2025 12:08:00,LEO34,0.509452167922817,-119.441638715033,259.18443212872984,0.238251377424571,0.066853576025247,3.2948621574329002,LEO34,14.6108382758308,-107.558740103289,701.3326762184057,0.0060700221396591,1.43270231095319e-14,2.5113283421324
10-Apr-2025 12:08:30,LEO34,3.50715789361541,-116.443932989341,404.6126113115053,0.188646125145469,0.0170984943858641,2.8794466475895,LEO34,13.1997826255919,-108.969795753528,636.910385244154,0.015353528866876,5.0971481892924296e-11,2.6856572438724
10-Apr-2025 12:09:00,LEO34,4.19466657436728,-115.756424308589,443.17068773998926,0.175703951273811,0.0109476889872112,2.5874552014476997,LEO34,7.09674141241236,-115.072836966707,374.02939904595945,0.116755092810647,0.0006835955228033,3.0146717006969
10-Apr-2025 12:09:30,LEO34,4.04823373751265,-115.902857145444,434.80985351801775,0.178504191584867,0.0121025294302865,2.4635678370665,LEO34,6.26586873858778,-115.903709640532,341.5307931256256,0.134081229976242,0.0018104220546207,3.4542245900025
