,Time,Sydney_Best_SAT_ID,Sydney_BEST_SNR,Sydney_BEST_RSSI,Sydney_BEST_Thrpt,Sydney_BEST_BER_MQAM,Sydney_BEST_BER_QPSK,Sydney_BEST_Latency,Melbourne_Best_SAT_ID,Melbourne_BEST_SNR,Melbourne_BEST_RSSI,Melbourne_BEST_Thrpt,Melbourne_BEST_BER_MQAM,Melbourne_BEST_BER_QPSK,Melbourne_BEST_Latency
0,10-Apr-2025 12:00:00,LEO35,1.01990773041514,-121.149670648705,168.70393603964519,0.230629190246182,0.0558706781917059,3.2724858340827,LEO35,9.28944389119249,-112.880134487927,464.4180039160261,0.0721991051531295,1.88735569569173e-05,2.8438490761584
1,10-Apr-2025 12:00:30,LEO35,2.70092990035845,-119.468648478761,217.04701125018215,0.203117336017441,0.0268022670138772,2.9568547291505998,LEO35,9.80806058078424,-112.361517798336,486.6006411970463,0.0624642327394777,6.0884772646921e-06,3.0973103234554
2,10-Apr-2025 12:01:00,LEO35,6.69797342761221,-115.471604951508,358.29497795559695,0.125084357482966,0.0011147213756097,2.7826863802124997,LEO35,3.28008283891526,-118.889495540204,235.36539508246327,0.192801801987023,0.0195518211428651,3.4734559635405
3,10-Apr-2025 12:01:30,LEO35,7.35912432399445,-114.810454055125,384.5129788390179,0.111277651548765,0.0004839836528233,2.7769731703945,LEO68,8.80033512161977,-113.3692432575,443.7513615292158,0.0817622827591982,4.90552508858132e-05,3.5317437810506
4,10-Apr-2025 12:02:00,LEO35,4.45698309979562,-117.712595279324,275.0055293553867,0.170631878457405,0.009077091669005,2.9407637747456,LEO68,9.68079219230835,-112.488786186811,481.13272717418954,0.0648091509365166,8.13444182353208e-06,3.0588944843959998
5,10-Apr-2025 12:02:30,LEO35,1.51577960653285,-120.653798772587,182.19320495483018,0.222897380510267,0.0461051144975046,3.2484313421745,LEO68,10.9070111448288,-111.262567234291,534.4104705326814,0.0436664211207382,3.44593504876208e-07,2.6849356197088
6,10-Apr-2025 12:03:00,LEO68,0.28362862322733,-121.885949755892,149.9002528384943,0.241514916621855,0.0719863898175009,4.5021210029788,LEO68,12.8593583885622,-109.310219990558,621.5004949946833,0.0185067117645206,2.5564777557630103e-10,2.4558504521684
7,10-Apr-2025 12:03:30,LEO68,1.46066561825798,-120.708912760862,180.66148078605747,0.223772697511981,0.0471438048871278,4.3645380639066,LEO68,13.0204658477957,-109.149112531324,628.7861575999956,0.0169679794940091,1.21031666245621e-10,2.4134394630069997
8,10-Apr-2025 12:04:00,LEO68,1.0129259733644,-121.156652405755,168.5187234936342,0.230735745800475,0.0560147507506111,4.3333289954118,LEO68,7.36027883119161,-114.809299547928,384.55932874720764,0.111253574930115,0.0004832278473796,2.566956377087
9,10-Apr-2025 12:04:30,LEO68,-0.26763286317879,-122.437211242299,136.79006828362466,0.249205113240068,0.0851402955950905,4.4107280441912,LEO68,8.06142927630697,-114.108149102813,413.0485777591362,0.0967197513356796,0.0001734108500075,2.8851133646796
10,10-Apr-2025 12:05:00,LEO79,1.80569747863399,-120.363880900486,190.3828844090843,0.218227310110288,0.0408414025556233,3.4164100314390002,LEO68,7.72422394749563,-114.445354431624,399.2640761393976,0.103682812646638,0.000289432104865,3.3206203490781
11,10-Apr-2025 12:05:30,LEO79,4.96731739236155,-117.202260986758,293.13070648911855,0.16057316929614,0.0061152704767902,3.0723943531362,LEO68,1.82358415088041,-120.345994228239,190.8953957820263,0.21793558185207,0.0405278421740573,3.8333028135605
12,10-Apr-2025 12:06:00,LEO79,0.778893799519707,-121.3906845796,162.386555057456,0.234270542946193,0.0609447765080569,2.8616242818972,LEO34,6.79836236943609,-115.371216009684,362.23288200305274,0.1229885016166,0.0009894565576033,3.5178948205958998
13,10-Apr-2025 12:06:30,LEO79,6.95376704356613,-115.215811335554,368.35987115788174,0.119742199857643,0.000818527422548,2.8144476294855,LEO34,8.85389353551996,-113.3156848436,446.0016823072863,0.080699745391089,4.44013194168733e-05,3.0671012767364
14,10-Apr-2025 12:07:00,LEO79,2.69376328982526,-119.475815089294,216.82548775613498,0.203242371457189,0.0269010294189744,2.9388217242173003,LEO34,12.3295237256449,-109.840054653475,597.6362980767517,0.02415916973358,2.49085214729992e-09,2.7211738515607
15,10-Apr-2025 12:07:30,LEO79,3.88622894686937,-118.28334943225,255.39138542033768,0.181575241828301,0.0134760625712103,3.2148045650585,LEO34,11.1037818622588,-111.065796516861,543.073779078229,0.0406153465960285,1.90580690771468e-07,2.5240641388465
16,10-Apr-2025 12:08:00,LEO34,2.57603906334275,-119.593539315777,213.20491269203853,0.205287005360662,0.0285551164118441,3.2948621574329002,LEO34,14.6108382758308,-107.558740103289,701.3326762184057,0.0060700221396591,1.43270231095319e-14,2.5113283421324
17,10-Apr-2025 12:08:30,LEO34,6.79722924398341,-115.372349135136,362.1883450552187,0.123012165110556,0.0009908029424173,2.8794466475895,LEO34,13.1997826255919,-108.969795753528,636.910385244154,0.015353528866876,5.0971481892924296e-11,2.6856572438724
18,10-Apr-2025 12:09:00,LEO34,6.99179231435392,-115.177786064766,369.8647101099062,0.118947725727976,0.0007806557653972,2.5874552014476997,LEO34,7.09674141241236,-115.072836966707,374.02939904595945,0.116755092810647,0.0006835955228033,3.0146717006969
19,10-Apr-2025 12:09:30,LEO34,8.20996176175079,-113.959616617369,419.1670146179304,0.0936750360651345,0.0001367113070062,2.4635678370665,LEO34,6.26586873858778,-115.903709640532,341.5307931256256,0.134081229976242,0.0018104220546207,3.4542245900025
