,count,mean,std,min,25%,50%,75%,max
LEO69_Melbourne_SNR_dB,3.0,-33.6996759458165,2.2780542617088035,-35.04135024823,-35.01482200508205,-34.9882937619341,-33.028838794609754,-31.0693838272854
LEO76_Sydney_SNR_dB,11.0,-12.848413226830775,17.459057986202506,-40.2456728963037,-29.13813493383155,-3.3784257841172,-0.08705101624115474,6.94061094522171
LEO76_Melbourne_SNR_dB,10.0,-15.315775997887304,15.650183237932202,-37.3541297387242,-29.2092705592716,-12.416426592649145,-1.7981703755384995,3.63160927130841
LEO77_Sydney_SNR_dB,25.0,-10.171398392359901,17.352988744242353,-38.9601761615838,-22.3792698437622,-2.69307176134784,1.71954585338749,11.738925324364
LEO77_Melbourne_SNR_dB,23.0,-15.460825865816545,15.481209537690003,-39.5880084123452,-32.22614520794875,-10.973692072575,-1.722082559235936,3.2692233602771
LEO78_Sydney_SNR_dB,25.0,-11.183557858662196,17.784878897027642,-44.1500368071531,-25.4694815092638,-4.59265115979898,0.866639990673519,9.68284665196356
LEO78_Melbourne_SNR_dB,22.0,-16.603756419557183,14.39766799422426,-39.2286624673101,-31.9471109536181,-12.1545577636902,-3.9400953669045475,1.34779551078472
LEO79_Sydney_SNR_dB,25.0,-12.966668947439667,17.030249723555023,-42.2243259108425,-26.2245861382577,-4.46923079851148,0.778893799519707,6.95376704356613
LEO79_Melbourne_SNR_dB,21.0,-19.11477614731854,12.912246363766856,-37.6538293059622,-31.1740762829088,-18.5564765121236,-6.55355349495962,-1.31451621436514
LEO80_Sydney_SNR_dB,9.0,-18.240913791951264,16.866026520994613,-40.2538540999126,-34.7506990341006,-15.8445219426902,-2.08208032444392,0.495797895351643
LEO80_Melbourne_SNR_dB,7.0,-26.160532410901556,8.489278344979382,-34.4685575274452,-33.55575378532875,-28.6963870559802,-19.1314427849624,-14.5843891523032
